cod_muni;cod_depto;depto_origen;muni_origen;lat;lon
18785;18;CAQUETÁ;SOLITA;0.8767264;-75.6190438
18860;18;CAQUETÁ;VALPARAÍSO;1.1961248;-75.7059684
19001;19;CAUCA;POPAYÁN;2.4431455;-76.5463299
19022;19;CAUCA;ALMAGUER;1.9142744;-76.8548514
19050;19;CAUCA;ARGELIA;2.2568076;-77.2494094
19075;19;CAUCA;BALBOA;2.042096;-77.2157842
19100;19;CAUCA;BOLÍVAR;1.8733279;-76.9919324
19110;19;CAUCA;BUENOS AIRES;3.0165467;-76.6406849
19130;19;CAUCA;CAJIBÍO;2.6231693;-76.5693504
19137;19;CAUCA;CALDONO;2.796326;-76.4836526
19142;19;CAUCA;CALOTO;3.0336985;-76.4085199
19212;19;CAUCA;CORINTO;3.1439306;-76.2002489
19256;19;CAUCA;EL TAMBO;2.4511923;-76.8117409
19290;19;CAUCA;FLORENCIA;1.6830289;-77.0726877
19300;19;CAUCA;GUACHENÉ;3.1323331;-76.3916018
19318;19;CAUCA;GUAPI;2.5708069;-77.882619
19355;19;CAUCA;INZÁ;2.5500211;-76.0643978
19364;19;CAUCA;JAMBALÓ;2.7776822;-76.3243788
19392;19;CAUCA;LA SIERRA;2.1763552;-76.7634852
19397;19;CAUCA;LA VEGA;2.0525728;-76.7759384
19450;19;CAUCA;MERCADERES;1.8004122;-77.165892
19455;19;CAUCA;MIRANDA;3.2511475;-76.2291572
19473;19;CAUCA;MORALES;2.8438981;-76.848882
19513;19;CAUCA;PADILLA;3.2254364;-76.3139739
19517;19;CAUCA;PÁEZ;2.7357822;-75.9915281
19532;19;CAUCA;PATÍA;2.07501;-77.0616762
19533;19;CAUCA;PIAMONTE;1.1185119;-76.3265519
19548;19;CAUCA;PIENDAMÓ - TUNÍA;2.7400119;-76.5353693
19573;19;CAUCA;PUERTO TEJADA;3.2288972;-76.4192267
19585;19;CAUCA;PURACÉ;2.3811038;-76.4551183
19622;19;CAUCA;ROSAS;2.2621018;-76.7392875
19693;19;CAUCA;SAN SEBASTIÁN;1.8386665;-76.7697662
19698;19;CAUCA;SANTANDER DE QUILICHAO;3.0075752;-76.4856531
19701;19;CAUCA;SANTA ROSA;1.7018257;-76.5725868
19743;19;CAUCA;SILVIA;2.6115436;-76.378424
19760;19;CAUCA;SOTARÁ PAISPAMBA;2.2544528;-76.6146548
19780;19;CAUCA;SUÁREZ;2.9543543;-76.6948801
19785;19;CAUCA;SUCRE;2.0382339;-76.9249937
19807;19;CAUCA;TIMBÍO;2.3528374;-76.683012
19809;19;CAUCA;TIMBIQUÍ;2.7705138;-77.6643122
